,장소,위치,시간,요금종류,요금
0,서울숲,서울 성동구 뚝섬로 273,매일 00:00 - 24:00연중무휴.,입장료,무료
1,북서울꿈의숲,서울 강북구 월계로 173,매일 00:00 - 24:00,입장료,무료
2,신라호텔,,,,
3,어린이대공원,,,,
4,서울타워,서울 용산구 남산공원길 105,매일 10:00 - 23:00,전망대 (대인),"11,000원"
5,그랜드하얏트서울호텔,,,,
6,뚝섬한강공원,서울 광진구 강변북로 139,,입장료,무료
7,그랜드워커힐서울,,,,
8,뚝섬유원지,서울 광진구 자양동 427-1,,입장료,무료
9,서울월드컵경기장,서울 마포구 성산동 515-39,"매일 09:00 - 18:00경기행사일, 명절당일 관람제한",입장료 성인,"1,000원"
10,스위스그랜드호텔,,,,
11,반얀트리클럽앤스파서울,,,,
12,광화문,서울 종로구 효자로 12 국립고궁박물관,화요일 휴무,대인(만25세~만64세),"3,000원"
13,웨스틴조선호텔,,,,
14,난지한강공원,서울 마포구 한강난지로 162 한강공원 난지안내센터,,입장료,무료
15,419기념탑,,,,
16,경남관광호텔,,,,
17,롯데호텔서울점,,,,
18,이촌한강공원,서울 용산구 이촌로72길 62 한강공원 이촌안내센터,,입장료,무료
19,하늘공원,,,,
20,더플라자호텔,,,,
21,서울가든호텔,,,,
22,밀레니엄서울힐튼호텔,,,,
23,북악스카이웨이,서울 종로구 평창동 산6-94,,이용료,무료
24,팔각정북악스카이,,,,
25,태릉CC,,,,
26,포시즌스호텔서울,,,,
27,경복궁,서울 종로구 사직로 161 경복궁,화요일 휴무,대인(만25세~만64세),"3,000원"
28,서울장미축제,,,,
29,평화의공원,서울 마포구 상암동,,입장료,무료
30,JW메리어트동대문스퀘어서울,,,,
31,낙산공원,서울 종로구 낙산길 41,매일 00:00 - 24:00,입장료,무료
32,빅토리아호텔,,,,
33,오라카이인사동스위츠,,,,
34,비스타워커힐서울,,,,
35,월드컵공원,서울 마포구 하늘공원로 108-1,매일 00:00 - 24:00,입장료,무료
36,용산공원,서울 용산구 서빙고로 137 국립중앙박물관,매일 00:00 - 24:00,입장료,무료
37,서울창포원,서울 도봉구 마들로 916,평일 07:00 - 22:00,입장료,무료
38,방문자센터북서울꿈의숲,,,,
39,서울드래곤시티,서울 용산구 청파로20길 95 서울드래곤시티,매일 00:00 - 24:00,입장료,무료
40,호텔PJ,,,,
